

n: 1000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0130583   00:00:00.0231467   00:00:00.0194497   00:00:00.0822638   1598922
00:00:00.0121007   00:00:00.0133238   00:00:00.0188922   00:00:00.0891012   1598375
00:00:00.0120889   00:00:00.0160284   00:00:00.0229179   00:00:00.0815401   1599203
00:00:00.0134522   00:00:00.0133452   00:00:00.0248284   00:00:00.0811691   1599480



n: 4000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0224814   00:00:00.0266663   00:00:00.0350139   00:00:00.1471797   3198666
00:00:00.0234449   00:00:00.0409624   00:00:00.0353339   00:00:00.1490408   3199113
00:00:00.0235196   00:00:00.0267461   00:00:00.0369126   00:00:00.1424595   3196967
00:00:00.0229934   00:00:00.0267532   00:00:00.0467840   00:00:00.1400994   3199114
00:00:00.0231996   00:00:00.0265292   00:00:00.0390298   00:00:00.1467831   3199264
00:00:00.0247735   00:00:00.0283951   00:00:00.0364812   00:00:00.1525474   3201143
00:00:00.0234663   00:00:00.0280292   00:00:00.0381539   00:00:00.1473666   3198441
00:00:00.0225312   00:00:00.0263850   00:00:00.0363536   00:00:00.1412601   3197714
00:00:00.0238388   00:00:00.0284808   00:00:00.0377446   00:00:00.1453648   3198054
00:00:00.0224770   00:00:00.0263984   00:00:00.0460014   00:00:00.1440840   3198743



n: 5000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0192359   00:00:00.0277148   00:00:00.0309867   00:00:00.1300095   2499088
00:00:00.0188417   00:00:00.0222017   00:00:00.0294953   00:00:00.1323376   2499720
00:00:00.0186090   00:00:00.0210536   00:00:00.0284571   00:00:00.1287560   2499812
00:00:00.0189389   00:00:00.0219595   00:00:00.0295838   00:00:00.1328350   2499018
00:00:00.0189286   00:00:00.0264091   00:00:00.0396093   00:00:00.1435779   2501132
00:00:00.0199036   00:00:00.0327834   00:00:00.0295550   00:00:00.1351390   2499069
00:00:00.0189590   00:00:00.0220907   00:00:00.0294076   00:00:00.1334671   2499427
00:00:00.0182491   00:00:00.0323374   00:00:00.0350689   00:00:00.1345401   2499733
00:00:00.0185355   00:00:00.0218102   00:00:00.0284200   00:00:00.1300865   2498534
00:00:00.0191672   00:00:00.0218054   00:00:00.0290825   00:00:00.1335682   2499825



n: 5000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0363157   00:00:00.0426746   00:00:00.0615918   00:00:00.2460508   4998579
00:00:00.0366894   00:00:00.0423495   00:00:00.0611841   00:00:00.2385995   4999874
00:00:00.0366025   00:00:00.0433968   00:00:00.0615325   00:00:00.2334025   4996725
00:00:00.0611497   00:00:00.0438756   00:00:00.0582179   00:00:00.2324958   5000190
00:00:00.0380619   00:00:00.0448909   00:00:00.0612232   00:00:00.2252527   4999055
00:00:00.0372243   00:00:00.0431783   00:00:00.0664751   00:00:00.2306584   4998438
00:00:00.0367159   00:00:00.0434493   00:00:00.0557927   00:00:00.2227911   4999731
00:00:00.0390053   00:00:00.0558622   00:00:00.0773943   00:00:00.2334700   4999465
00:00:00.0368040   00:00:00.0443560   00:00:00.0583037   00:00:00.2159862   4998802
00:00:00.0346047   00:00:00.0418983   00:00:00.0577059   00:00:00.2242706   4998296



n: 6000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0360328   00:00:00.0320190   00:00:00.0432312   00:00:00.2006664   3600113
00:00:00.0278858   00:00:00.0322975   00:00:00.0412125   00:00:00.1995839   3599272
00:00:00.0260808   00:00:00.0376253   00:00:00.0491840   00:00:00.1926028   3599204
00:00:00.0275516   00:00:00.0300816   00:00:00.0450952   00:00:00.1905528   3596438
00:00:00.0271996   00:00:00.0344573   00:00:00.0435836   00:00:00.1967399   3599498
00:00:00.0258355   00:00:00.0296940   00:00:00.0417513   00:00:00.1852598   3598868
00:00:00.0294471   00:00:00.0347888   00:00:00.0505474   00:00:00.1857986   3595773
00:00:00.0271676   00:00:00.0417731   00:00:00.0408948   00:00:00.1945896   3598738
00:00:00.0269290   00:00:00.0315232   00:00:00.0435070   00:00:00.1880825   3600445
00:00:00.0535127   00:00:00.0316373   00:00:00.0423945   00:00:00.1908740   3598113



n: 6000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0527779   00:00:00.0618735   00:00:00.0850202   00:00:00.3309031   7197751
00:00:00.0523299   00:00:00.0625976   00:00:00.0917354   00:00:00.3338459   7199174
